,col1,TBh1,TBh2,TBh3,TBh4,TBv1,TBv2,TBv3,TBv4,latDeg,lngDeg,lmebRet
79,3332.9534097221913,236.71711568813998,236.32206866819095,240.08871795792058,239.44833708393833,269.60101516317184,271.16684598938855,281.45814731335855,282.73708858040595,-37.91085307,145.13570785,0.09790918340822644
80,3332.953519675997,230.27546358122967,232.77401502415944,233.87418845331382,236.5919558058487,266.4621255486781,268.9456001911166,276.85091137147157,280.1138050917196,-37.91084539,145.13574534003016,0.11796798389164077
81,3332.9536296296865,232.08443753264356,232.19769422500084,235.1166042543526,235.50031051614465,265.6960181628457,265.69969795049417,277.67923184178034,277.01098057936736,-37.91082805,145.13578623,0.12197667319901812
82,3332.9537384259747,229.769126446887,229.02791013792512,232.71650787029466,231.76999837595596,266.00828142762276,265.691423760311,277.9014694627542,275.7634345202555,-37.9108355,145.13580648,0.12907563533973215
83,3332.953848379664,233.75584354421554,235.67388210159916,237.10958643783803,238.70352284327186,267.2314186311219,268.82613912047066,278.8373881547002,278.8968960358851,-37.91082734,145.13584203,0.11046578096812923
84,3332.9539583333535,235.74234066595739,233.49635323708702,238.7707161536374,236.29042195014864,267.71646525800116,267.1897118913939,277.83538165282096,276.1740757602416,-37.91079126,145.13584966,0.11468112529324832
85,3332.954068287043,229.26147600538278,231.00191206674472,232.7668170861495,234.3114803313867,263.9471483349379,263.11407921661305,273.3786281183299,274.78923439492183,-37.91079066,145.13588876,0.13432440449446958
86,3332.9541782407323,238.50502151260895,241.07041049596782,240.69440707069043,241.0661545800286,270.3560605573998,269.85502559790547,281.75267052405945,280.748956896848,-37.91079194,145.13592301,0.09513087000927249
87,3332.9542870370205,240.4591888271026,238.00455285433398,243.9973016080874,241.18511038403352,268.86715859094903,269.6095881419294,279.4387584531786,281.2038172484925,-37.91079435,145.13594725,0.09673112031491302
88,3332.95439699071,234.6110355229892,234.1131476422688,239.17003087484352,238.34511379052753,268.654400222301,267.54849883356115,279.1113628504038,278.58607762926147,-37.91079288,145.13596946,0.10984693114223837
89,3332.9545069445157,230.34278722053904,231.10040489888902,233.5800729462276,234.6134413724368,268.3482100589637,269.2623292257027,278.92590602971205,280.32528110445475,-37.91079537,145.13598905997992,0.11667209422195685
90,3332.957115740748,231.07780459834515,230.42932699700754,234.061048651115,233.9420982032946,266.1908557919949,266.7031397120485,276.61959144958064,277.4472017868618,-37.91075091,145.13599737,0.12433053046945117
91,3332.9572256944375,230.13111010357824,229.90033324671177,234.15892668896518,233.4036144909456,266.60269104234675,266.2560567103756,277.78560831809637,277.354319174433,-37.91077726,145.13600228,0.12462425611837948
92,3332.9573344907258,229.13459772087134,241.25796225859685,232.64581558131718,247.09870553079526,266.6884754791766,268.68373864102665,277.73793873293016,279.99284611722976,-37.91076187,145.13602225,0.10837217367557359
93,3332.957443287014,232.23859527531903,,234.9092274435036,242.50681871682806,267.52315093575163,,278.0378422110149,277.45055665663904,-37.91074579,145.1360173,0.10721699624171674
94,3332.9575520833023,,211.75441534808337,,214.11160476034004,,242.1800849538965,,252.64900715641681,-37.91074675,145.13601138,0.24573268330539366
95,3332.957662037108,223.1771621507025,230.04429217561236,,232.7054182224166,253.23257804774707,257.6361991902148,,265.9308744062842,-37.910729279989944,145.13600736998995,0.17048790121078447
96,3332.9577708333964,,215.6161679827846,226.33529691897306,218.56527401194572,,243.7512124601766,256.99477293006845,252.5016774681159,-37.91068458001005,145.13602771008038,0.21469493506827292
97,3332.9578807870857,236.34960084367802,,248.67972583517812,,276.47615602577605,,300.14823027654427,,-37.91066231,145.13609961,0.0464506746759068
98,3332.957989583374,,242.687105063084,246.29858517471737,245.11664376482398,,270.88289947767225,280.6829348800376,275.8639160623458,-37.91061255,145.13616888,0.08600336131832496
99,3332.9580995370634,217.65837102145144,201.05817259932357,222.20048563912007,207.9697307391817,255.61604796703577,243.89947875943528,266.1277124205983,246.64157164094524,-37.91055505,145.13618061,0.23097295116572952
100,3332.9582083333516,231.6964110934366,,237.3244951645349,224.54676849345222,268.3962323233396,,275.0122671563246,276.81965205083986,-37.91052104,145.13617385,0.1219155279866029
101,3332.9584270833293,215.7533604664208,216.25100343157945,213.79762263293784,223.08740200031028,255.53675083205894,251.98731569072123,268.5134484980303,263.8121910038499,-37.91041834,145.13605656,0.1966600149808363
102,3332.958645833307,231.22731842565508,231.50336377876727,235.0851397017874,235.75152506315456,264.9178798638076,264.3517684059666,273.85102925627535,274.6360585722529,-37.91041461,145.13599152,0.12892577424485144
103,3332.958754629595,238.08552315902313,237.68871538102007,242.18365719506548,240.72101062169574,267.7038165470184,266.7818193792243,277.6422065534186,276.97408675295117,-37.91039807,145.13596231,0.10690045209575684
104,3332.958864583401,236.1647977495836,235.66390096418584,240.16089593705107,239.26863214581846,272.74901357185854,269.5522057777625,281.93131319513714,278.87897176652507,-37.910408749989955,145.13593508,0.1000551662010598
105,3332.9589733796893,240.58677970924862,241.38840129964055,243.52077333324632,244.41715069922148,273.1172470756682,272.3812133684121,283.3469360518485,283.11151084029405,-37.91040777001005,145.13593214001003,0.0835072072510915
106,3332.9590833333787,244.28672471223038,242.40257116623673,246.78206257430438,245.63583678797312,274.33654374459735,273.8298297987014,284.5417340964248,284.5152038379087,-37.91042088,145.13592253,0.07475806629911931
107,3332.959192129667,243.6573241918337,242.13108508347466,247.0476394850336,245.62594492741218,273.71837846201953,273.1998036605251,284.5498313281594,284.511730941056,-37.91042112,145.13589885,0.0760807868595875
108,3332.959300925955,238.06803134596106,241.08695257966946,241.54893444708347,244.15576837614637,269.24409346639413,270.31129688213883,278.89739840410334,279.6371783093773,-37.91042048,145.1358851,0.0969034524969846
109,3332.9594108796446,240.3265891345401,239.86139620520854,243.4858158194518,242.8225337571626,270.1612605170872,269.9461380416129,279.4071675564355,279.5541056295983,-37.91041534,145.13585804,0.0953222734710413
110,3332.959520833334,242.16729932248901,243.44498007285947,245.13348160430627,246.63757642111787,274.0984209127485,271.75592193058634,282.6616307413516,281.71642358362516,-37.91040176,145.13582464,0.08121511859961078
111,3332.959629629622,234.51524062172228,238.181089044564,237.53594887224378,241.24153646755715,263.1765055210878,266.00989795466893,273.1449312187207,274.85334668998263,-37.91040663,145.13579874,0.11953060373311059
112,3332.9597384259105,241.5526141377305,241.49364752646758,245.28370538525994,244.4778691301318,270.4905256852077,269.77007637037644,279.2368384727475,278.2670205038693,-37.91041592,145.13579936,0.09315536059806465
113,3332.9598483796,244.19848869776243,245.46994807700332,247.58654519318458,248.88684630434557,270.994358559456,271.671380940908,281.76765189894644,281.36694851046053,-37.91040934,145.13574854,0.08049532618807398
114,3332.9599571760045,242.52379447965166,243.46923101914433,245.49774385195963,245.9436263471988,268.82218012490097,269.85916644961776,277.22224489392033,279.13524739611034,-37.91040227,145.13568844993972,0.09291315933463251
115,3332.960067129694,240.70088448901112,237.28990102640034,244.00559943541361,240.70669034226495,271.114134464241,265.1827054614819,281.5036966220279,273.9758987426616,-37.91040568,145.1356685899598,0.10280543587827357
116,3332.960175925982,238.47773919444043,238.02365743897735,241.01544277978937,241.1029862603411,266.57888795790257,267.17349722398365,275.89332941191077,276.93625618929843,-37.91039984,145.13563938,0.10879238456072543
117,3332.9602858796716,240.0275386171915,240.0808978857872,243.43818050993036,243.5249880450977,268.7954442121657,269.9679824828568,278.7055119152481,279.326871657183,-37.91039988,145.13562121,0.09677097508458969
118,3332.96039467596,239.4402338689013,238.46749917557602,242.61514580700265,241.52489823468778,271.0954090421359,270.3821115747411,280.43013171571124,279.54812248416937,-37.910388,145.13558882,0.09574313768654762
119,3332.960503472248,236.03061009428527,237.65777350749767,239.9249033481435,241.74964374454575,268.6533716343535,270.59148166846535,279.7071660098832,279.8977936609017,-37.91040913,145.13554923,0.10121407051016948
120,3332.9606134259375,240.09724112073496,241.614254548385,244.0939550535305,245.90148734924938,273.48928295138063,274.31086172343913,283.31183173138453,282.99234454266275,-37.91039146,145.13553062,0.08089226540855939
121,3332.960723379627,243.1010984462095,242.83544234551775,246.330663507068,246.47698329820497,273.5762996365498,274.0394288829426,281.6013519375135,282.4859016998212,-37.91039144,145.13550774,0.07938608227658622
122,3332.960832175915,237.65326724687608,234.21120222142093,241.44200092148168,238.08166328450912,272.93994617897425,269.34665374509626,281.95727200706625,278.3576496161391,-37.91037845,145.13548573,0.10038560757034151
123,3332.9609409722034,239.28451992530185,241.48511928951032,244.3423422652238,246.5531112955112,272.97506017974007,272.93656306620625,283.59869755142364,284.29600394030615,-37.91037742,145.13545006,0.08115343625675815
124,3332.961050925893,225.36711609215573,225.99854465883388,229.09674627924656,230.0403670618109,261.1670762228646,261.1825837489585,272.08472481592287,271.7315891978026,-37.91039094,145.13543053,0.15087195687971486
125,3332.9611597222975,235.6267547377054,233.71405261449087,240.81675737156382,238.51992462840158,269.52186685666345,269.95643817242325,280.38535942076646,280.64872792896557,-37.9103939099598,145.13540801998997,0.10344824860847694
126,3332.961269675987,238.15243451113582,244.65869961194142,242.76329658464041,248.98133398837655,269.8047689045058,269.2642034232757,279.452046793308,279.95986927312634,-37.910384159989945,145.13538802001003,0.09174220445052275
127,3332.961378472275,246.21851147800726,245.35113826913408,249.36378458510956,248.05000416400512,271.9416861972435,270.1207335775266,281.68053427960336,280.39022567948325,-37.91037733,145.13537879,0.0804451240150631
128,3332.9614884259645,242.48769611297107,241.50692853336224,246.08690364265638,244.2447257147951,270.8559233662047,271.5085687911172,280.8496023646714,281.6987946536314,-37.91038213,145.13536777,0.08689326771569236
129,3332.9615972222527,232.63618718157198,231.46603544099392,236.04229795203796,234.06435337245296,265.48786462305344,266.73379572278645,275.36740975744664,278.24710662095447,-37.91038629,145.13534849,0.12254912961329131
130,3332.961706018541,224.02153532789552,216.09215547301437,226.14463925933376,219.09161897837993,260.80010179350495,246.84759463038296,270.71238678655635,256.95206052387636,-37.91039216,145.1353062,0.189148429058445
131,3332.9618159722304,205.33191978794096,205.28034071095763,208.7059153666288,209.1069299732487,246.10085928938526,247.29573266959997,255.58330810401617,256.9851653736675,-37.91040278,145.13527235,0.2507317726531886
132,3332.9619247685187,218.05870519353488,219.62506878668594,220.93203826507366,220.79293515236088,257.788978663061,262.84108447474307,267.6803995688613,269.3953907904568,-37.91039931,145.1352371,0.17647230569488656
133,3332.962033564807,208.10348019064995,209.12815128603745,210.97299254485873,211.16821535774733,254.42056966470466,256.5039948029166,261.189806372228,266.48548419644334,-37.91038161,145.13518271,0.21798840204286696
134,3332.962142361095,199.35040114856005,197.6343566224407,202.46927236601258,200.36602298143606,236.02616528192763,235.1069293366193,246.14441475069475,245.32866180213318,-37.91038475,145.13513368,0.3068232247363556
135,3332.9622523147846,183.88696049135132,198.9635448278649,186.86761460431498,201.87437353628388,221.86133550945368,240.86640195233753,229.8854284869759,248.56047944394166,-37.91038628,145.13509466,0.34851149590753466
136,3332.9623611111892,233.9073283993722,231.0520870238708,235.81545683726833,235.05865792448552,262.4003720017297,264.0336728940457,271.619027462897,271.78767152544174,-37.91039033013065,145.13505858994975,0.13349328757506831
137,3332.962579861167,,,229.8482895340511,,,,262.79672837774467,,-37.91048839,145.1348565,0.15651563772756646
138,3332.962907407433,221.85660045533228,,222.7865249558666,,262.81869409672134,,276.83250864814653,,-37.91058946,145.13476554,0.15398406322701366
139,3332.9632349536987,,225.6592191315849,227.36513792276915,231.89251125965166,,268.34365405185684,281.642352870198,278.56046916126013,-37.91065356,145.13489123,0.11985376929543179
140,3332.963343749987,207.1942498868717,211.23134445316424,209.45274833770597,211.46107896488488,248.69724260655084,244.0731704360317,257.78667814994907,251.4909068483277,-37.91064533,145.13489783,0.2455681643877687
141,3332.963452546275,220.33682793104578,,222.60034550449248,240.56377081282594,259.66206032667895,,268.97919219473215,272.3693762694542,-37.91066869,145.1348861,0.14900766909906982
142,3332.9635624999646,227.44107857896537,224.29714140229026,231.3204886214486,228.0383577605628,258.4323237878106,259.461862351393,267.5496447499475,270.41987254553663,-37.91069074,145.1349186,0.15807917435168523
143,3332.9636712963693,228.61727082575663,226.55599155734245,232.9242192036093,230.89335649318747,265.2089330026823,262.9024062791876,273.74198681757304,271.0964763147376,-37.9107046400201,145.13494670005025,0.1408332936484571
144,3332.9637812500587,230.38164203236548,229.79956429250444,234.50979290015533,233.98519003932932,267.5809122943456,266.14174259914455,276.8138241114842,276.95656325094285,-37.91069828005025,145.13497951998994,0.1243970397340732
145,3332.963890046347,224.8181956214051,223.81311453987527,229.52336097841933,228.41855711459576,262.0632373487629,261.70831735739125,273.07852096133814,271.74617889735845,-37.91071407,145.13500442,0.15142707118920218
146,3332.9640000000363,215.43585562030182,215.73671976134574,220.32093622104034,220.1695737740674,255.19085588126924,254.26759753808557,264.70385581944475,265.0246904453552,-37.91074807,145.13503342,0.19529889574166862
147,3332.9641087963246,224.07722101295727,227.2336010886841,228.21542012801663,230.5781245936818,260.6459203008511,263.13930733814294,269.3356264934744,272.50068220698677,-37.91074961,145.13505309,0.15151267996625947
148,3332.964218750014,222.2277801115532,218.41458516983852,226.01203423264963,222.48275966839103,263.59128542139405,261.02191421727827,272.96816290608615,271.6853639698922,-37.91075194,145.13507312,0.16166665473184247
149,3332.9643275463022,207.50075317449628,209.03409196761314,212.24435037000993,213.83935288338049,254.6587421203266,255.29056092658374,266.39002903417816,266.63536425361053,-37.9107714,145.1350963,0.21237041991588992
