n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
1320,0.0376,0.0289,0.4416,0.0171,0.0081,0.8843,0.0215,0.0142,0.8183,0.015,0.0062,0.911
1330,0.0376,0.029,0.4415,0.018,0.0083,0.8723,0.0207,0.0133,0.8298,0.0158,0.0062,0.9017
1340,0.0376,0.029,0.4406,0.0175,0.0081,0.8788,0.021,0.0139,0.8255,0.0155,0.0061,0.9057
1350,0.0375,0.0289,0.4448,0.0182,0.0086,0.8693,0.0201,0.0132,0.8398,0.0157,0.0062,0.903
1360,0.0376,0.0289,0.4446,0.0179,0.0085,0.8735,0.021,0.0137,0.827,0.015,0.0059,0.9117
1370,0.0375,0.0289,0.446,0.0174,0.0081,0.8807,0.0205,0.0137,0.8343,0.015,0.0059,0.9107
1380,0.0374,0.0288,0.4467,0.0172,0.008,0.8825,0.0211,0.0142,0.8244,0.0151,0.0061,0.9096
1390,0.0374,0.0288,0.447,0.018,0.0082,0.8713,0.0204,0.0134,0.8347,0.0166,0.0065,0.8913
1400,0.0373,0.0288,0.448,0.0178,0.0085,0.8747,0.0208,0.0131,0.8285,0.0156,0.0064,0.9027
1410,0.0373,0.0288,0.4475,0.0183,0.0087,0.8668,0.0214,0.0145,0.8178,0.0155,0.0062,0.9048
1420,0.0374,0.0288,0.4454,0.0184,0.0088,0.8652,0.0211,0.0138,0.824,0.0157,0.0063,0.9027
1430,0.0375,0.0289,0.4425,0.0175,0.0087,0.8782,0.0204,0.0136,0.8348,0.0151,0.0063,0.9091
1440,0.0375,0.0289,0.4419,0.0179,0.0087,0.8732,0.0208,0.0137,0.8287,0.0157,0.0064,0.9028
1450,0.0373,0.0288,0.4436,0.0171,0.0086,0.8832,0.0205,0.0135,0.8327,0.0142,0.0062,0.9191
1460,0.0374,0.0289,0.4425,0.0174,0.0087,0.8797,0.0208,0.0134,0.8282,0.0142,0.0062,0.9194
