Datetime|TBH_40|TBV_40|TBH_45|TBV_45|TBH_50|TBV_50|TBH_55|TBV_55|TBH_60|TBV_60|TBH_65|TBV_65|TBH_70|TBV_70|Avg_SM_LC|Avg_STS_LC|Avg_STD_LC|LAI_hants
8/7/2016 23:45|245.11201|258.1883|242.53601|259.79062|237.41486|259.34595|229.44214|257.07855|220.76205|253.865|209.38469|247.85944|193.36949|235.82352|0.19513159|290.05|290.25|5.96
8/8/2016 0:00|245.28792|258.20514|242.85263|259.82928|237.63606|259.29388|229.89647|257.22467|221.11787|253.94261|209.86859|247.95317|193.66869|235.89336|0.1951579|289.85|290.21875|5.96
8/8/2016 0:15|245.43895|258.13126|243.02347|259.91006|237.77347|259.24707|230.11967|257.29135|221.15791|253.90375|209.82567|247.81906|193.61595|235.75827|0.19509473|289.61667|290.19376|5.96
8/8/2016 0:30|245.41736|257.94073|242.95068|259.66492|237.68419|259.0593|229.93813|256.85974|221.0959|253.55362|209.67247|247.62587|193.35605|235.48929|0.19500527|289.45|290.1625|5.96
8/8/2016 0:45|245.35463|257.80646|242.75876|259.48978|237.49992|258.95084|229.74834|256.67206|221.08621|253.39635|209.60307|247.41911|193.51671|235.45296|0.19498421|289.15|290.125|5.96
8/8/2016 1:00|245.12187|257.731|242.50786|259.1427|237.50375|258.7733|229.65155|256.54535|220.9926|253.54158|209.57333|247.2933|193.72118|235.49039|0.19492105|288.91666|290.075|5.96
8/8/2016 1:15|245.0258|257.66116|242.57756|259.33875|237.49532|258.76096|229.73283|256.54898|220.98164|253.34068|209.82672|247.57884|193.94241|235.49904|0.19494736|288.75|290.05|5.96
8/8/2016 1:30|244.95567|257.42294|242.39287|258.9883|237.42816|258.6247|229.6448|256.4478|221.01048|253.09868|209.73233|247.14215|194.00801|235.27045|0.19493158|288.55|290.0|5.96
8/8/2016 1:45|244.8057|257.08572|242.5607|258.95697|237.46008|258.36346|229.70908|256.26575|221.04625|252.84868|209.98798|247.21933|194.22826|235.1253|0.1948|288.31668|289.9625|5.96
8/8/2016 2:00|244.82155|257.12775|242.3211|258.82394|237.40335|258.34802|229.81235|256.24722|221.2843|252.88318|210.18758|247.22517|194.51558|235.17815|0.1948|288.15|289.9375|5.96
8/8/2016 2:15|244.84106|257.10773|242.40591|258.65442|237.42511|258.1043|229.9563|256.0215|221.63531|253.08899|210.6124|247.28268|194.91939|235.44154|0.19473158|287.95|289.8875|5.96
8/8/2016 2:30|244.87222|256.95624|242.3581|258.6289|237.42546|258.10083|230.13179|256.03217|221.62828|253.00471|210.68977|247.28447|194.97998|235.35349|0.19475263|287.78333|289.8625|5.96
8/8/2016 2:45|244.93819|256.93326|242.44962|258.59097|237.60632|258.03702|230.22911|256.00674|221.67404|252.77803|210.79872|247.06796|195.22412|235.32204|0.19473158|287.58334|289.83124|5.96
8/8/2016 3:00|244.98811|256.8849|242.23038|258.23126|237.72736|257.93768|230.16534|255.92375|221.85672|252.88808|210.94814|247.15486|195.41637|235.40802|0.19469474|287.35|289.7875|5.96
8/8/2016 3:15|244.80629|256.68814|242.44649|258.30548|237.6079|257.86176|230.2257|255.83945|222.05148|252.87209|211.11617|247.14977|195.72249|235.56711|0.19466843|287.18335|289.7625|5.96
8/8/2016 3:30|244.9053|256.63464|242.53009|258.3451|237.73055|257.76312|230.2946|255.79942|222.04231|252.66847|211.3232|247.05205|195.8262|235.50728|0.19465263|287.05|289.71875|5.96
8/8/2016 3:45|244.81601|256.34848|242.47661|258.10425|237.72556|257.66266|230.46674|255.62791|222.17839|252.69354|211.26022|247.02426|195.83301|235.1956|0.19463158|286.85|289.7|5.96
8/8/2016 4:00|244.84996|256.3003|242.69254|258.016|237.75331|257.45453|230.43654|255.47888|222.04813|252.39546|211.07826|246.62622|195.57167|235.0102|0.19461052|286.71667|289.65|5.96
8/8/2016 4:15|244.89923|256.35266|242.62033|257.79605|237.81508|257.316|230.62302|255.41484|222.03241|252.126|210.88124|246.25163|195.2319|234.57622|0.19461052|286.61667|289.61874|5.96
8/8/2016 4:30|245.0011|256.17084|242.47289|257.4976|237.80199|257.03354|230.46245|254.99228|221.92592|251.74147|210.56898|245.86684|194.74902|234.12683|0.19452631|286.51666|289.575|5.96
8/8/2016 4:45|244.8833|255.98265|242.60199|257.41327|237.87029|256.90805|230.44168|254.83603|221.65947|251.44608|210.30661|245.51332|194.31964|233.69397|0.19450526|286.31668|289.53125|5.96
8/8/2016 5:00|244.93669|255.78627|242.69063|257.3746|237.79382|256.7579|230.42963|254.55118|221.63153|251.19316|209.97887|245.13684|193.94946|233.2047|0.19450526|286.18335|289.50626|5.95
8/8/2016 5:15|244.94386|255.86368|242.70532|257.17438|237.90024|256.62854|230.33679|254.62367|221.4163|251.26753|209.82954|245.52217|193.95874|234.03899|0.19446842|285.98334|289.4625|5.95
8/8/2016 5:30|245.04607|255.81494|242.78064|257.23343|237.93668|256.6098|230.48344|254.55775|221.59238|251.3947|210.03728|245.51608|193.91724|233.8621|0.19445263|285.88333|289.425|5.95
8/8/2016 5:45|245.04146|255.7527|242.67221|257.10425|237.85283|256.30243|230.40915|254.20686|221.36958|250.78436|209.61221|244.85431|193.52715|233.12631|0.19436842|285.71667|289.39374|5.95
8/8/2016 6:00|245.00021|255.55756|242.52975|256.8088|237.7473|256.16562|230.16585|253.77217|221.0017|250.22968|209.02565|244.04916|192.5102|231.93013|0.19428948|285.61667|289.35|5.95
8/8/2016 6:15|244.97157|255.32562|242.49387|256.5765|237.66664|255.6678|229.91908|253.4449|220.58243|249.67268|208.25005|243.01848|191.54474|230.93684|0.19433685|285.51666|289.31876|5.95
8/8/2016 6:30|244.86818|255.15999|242.30911|256.25742|237.35588|255.31479|229.52618|252.94412|220.0465|249.0061|207.47168|242.39471|190.49382|230.0111|0.19427368|285.35|289.28125|5.95
8/8/2016 6:45|244.68376|254.93436|242.21582|256.0045|236.92204|255.03143|229.20427|252.67418|219.25883|248.2421|206.52437|241.63464|189.34026|229.02657|0.19423684|285.31668|289.25|5.95
8/8/2016 7:00|244.75621|254.83414|241.91852|255.80013|236.77124|254.87029|228.5967|252.17181|218.77615|248.03345|205.79158|241.20464|188.63322|228.85545|0.19420527|285.31668|289.2|5.95
8/8/2016 7:15|244.53441|254.62703|241.8484|255.62225|236.54944|254.58472|228.24608|251.78091|218.25381|247.72299|205.23192|240.89801|187.99457|228.48482|0.19416316|285.18332|289.16876|5.95
8/8/2016 7:30|244.46066|254.46204|241.86003|255.66075|236.32013|254.28758|228.01622|251.61221|217.91013|247.30357|204.85234|240.63017|187.44455|228.18298|0.1941421|285.48334|289.1375|5.95
